Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2
EVO055,EVO,Terminator Tank,1,6,6,3,,,"Mechanologist, Action, Attack",Overpower,,,,,,"If you have 1 or more Evos equipped, this gets ""When this hits a hero, they discard a card,"" 

- 2 or more, this costs {r}{r}{r} less to play,
- 3 or more, this gets **overpower**,
- 4 or more, this gets +3{p}.",Mechanologist Action - Attack,,,,No,M,,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO055.width-450.format-webp.webp,M,R,EA,Simon Dominic,,/EVO055_EA.webp
EVO056,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO057,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO058,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO059,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO060,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO061,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO062,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO063,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO064,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO065,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO066,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO067,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO068,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO069,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO070,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO071,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO072,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO073,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO074,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO075,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO076,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO077,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO078,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO079,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO080,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO081,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO082,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO083,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO084,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO085,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO086,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO087,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO088,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO089,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO090,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO091,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO092,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO093,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO094,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO095,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO096,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO097,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO098,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO099,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO100,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO101,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO102,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO103,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO104,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO105,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO106,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO107,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO108,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO109,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO110,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO111,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO112,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO113,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO114,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO115,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO116,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO117,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO118,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO119,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO120,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO121,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO122,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO123,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO124,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO125,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO126,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO127,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO128,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO129,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO130,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO131,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO132,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO133,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO134,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO135,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO136,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO137,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO138,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO139,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO140,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO141,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO142,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO143,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO144,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO145,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO146,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO147,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO148,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO149,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO150,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO151,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO152,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO153,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO154,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO155,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO156,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO157,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO158,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO159,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO160,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO161,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO162,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO163,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO164,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO165,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO166,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO167,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO168,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO169,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO170,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO171,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO172,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO173,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO174,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO175,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO176,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO177,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO178,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO179,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO180,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO181,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO182,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO183,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO184,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO185,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO186,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO187,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO188,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO189,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO190,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO191,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO192,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO193,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO194,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO195,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO196,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO197,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO198,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO199,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO200,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO201,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO202,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO203,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO204,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO205,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO206,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO207,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO208,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO209,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO210,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO211,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO212,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO213,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO214,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO215,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO216,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO217,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO218,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO219,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO220,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO221,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO222,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO223,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO224,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO225,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO226,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO227,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO228,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO229,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO230,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO231,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO232,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO233,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO234,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO235,EVO,Shriek Razors,,,,1,,,"Assassin, Equipment, Arms",Battleworn,Attack Reaction,,,,,"While this is in your graveyard, at the start of your turn, you may destroy 2 Silvers you control. If you do, equip this.

**Attack Reaction** - {r}{r}, destroy this: Target attack action card defending an Assassin attack gets -1{d}.

**Battleworn**",Assassin Equipment - Arms,,,,No,L,C,,Athiwut B.,,/EVO235.webp,,,,,,
EVO236,EVO,Already Dead,1,2,6,3,,,"Assassin, Action, Attack",Contract,,,,,,"**Contract** - You are contracted to banish opponents' non-action cards. Whenever you complete this contract, create a Silver token.

When this hits a hero, banish the top card of their deck and a defending card.",Assassin Action - Attack,,,,No,M,S,,Alexander Mokhov,,/EVO236.webp,,,,,,
EVO237,EVO,Smashing Performance,2,3,6,,,,"Brute, Action, Attack",,,,,,,"When this attacks draw a card, then discard a random card. If a card with 6 or more {p} is discarded this way, destroy a random item in the arena.",Brute Action - Attack,,,,No,M,,,Henrique Lindner,,/EVO237.webp,,,,,,
EVO238,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO239,EVO,Wax Off,3,0,,2,,,"Ninja, Defense Reaction",,,,,,,"If you've played Wax On this turn, create a Zen State token.",Ninja Defense Reaction,,,,No,M,,,Nathaniel Himawan,,/EVO239.webp,,,,,,
EVO240,EVO,Emboldened Blade,3,0,,3,,,"Warrior, Action",Go again,,,,,,"Turn a face-down card in any arsenal face-up. If it's a defense reaction, destroy it and your next weapon attack this turn gets +1{p}.

**Go again**",Warrior Action,,,,No,M,,,Bastien Jez,,/EVO240.webp,,,,,,
EVO241,EVO,Intoxicating Shot,3,0,4,3,,,"Ranger, Action, Arrow, Attack",Riptide Specialization,,,,,,"**Riptide Specialization**

When this hits a hero, they create a Courage and Quicken token.",Ranger Action - Arrow Attack,,,,No,M,,,Joseph Qiu,,/EVO241.webp,,,,,,
EVO242,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO243,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO244,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO245,EVO,Tome of Imperial Flame,1,0,,,,,"Draconic, Action",Go again,,,,,,"Draw a card. If you are Royal, instead draw 2 cards.

You may pitch 2 red cards. If you don't, banish your hand.

**Go again**",Draconic Action,,,,No,M,,,Mateusz Wiśniewski,,/EVO245.webp,,,,,,
EVO246,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO247,EVO,Warband of Bellona,,,,2,,,"Light, Warrior, Equipment, Head",Temper,Action,"Go again, Charge",,,,"**Action** - {r}{r}, destroy this: The next time you attack this turn, you may **charge** your hero's soul. If a yellow card is **charged** this way, draw a card. **Go again**

**Temper**",Light Warrior Equipment - Head,,,,No,L,C,EA,soyameii,,/EVO247.webp,,,,,,
EVO248,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO249,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO250,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAB172,"FAB, EVO",Meganetic Protocol,3,3,5,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - The defending hero must defend this with X equipment they control with -1{d} counters if able, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,,P,R,EA,Tanapon Wachirakul,,/FAB172.webp,,,,,,
FAB173,"FAB, EVO",Pulsewave Protocol,2,3,6,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - When this attacks a hero, they reveal X cards from their hand, where X is the number of Evos you have equipped. Choose an action card with {d} less than X, then add it to this chain link as a defending card.",Mechanologist Action - Attack,,,,,P,R,EA,Asur Misoa,,/FAB173.webp,,,,,,
FAB174,"FAB, EVO",Demolition Protocol,1,3,7,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - When this attacks a hero, remove all steam counters from up to X equipment, items, and/or weapons they control, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,,P,R,EA,Carlos Cruchaga,,/FAB174.webp,,,,,,
LGS186,"LGS, EVO",Teklo Base Head,,,,1,,,"Mechanologist, Equipment, Base, Head",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Head,,,,,P,C,,Alief Rusdiatama,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS186.width-450.format-webp.webp,,,,,,
LGS187,"LGS, EVO",Teklo Base Chest,,,,1,,,"Mechanologist, Equipment, Base, Chest",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Chest,,,,,P,C,,Septimius Ferdian,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS187.width-450.format-webp.webp,,,,,,
LGS188,"LGS, EVO",Teklo Base Arms,,,,1,,,"Mechanologist, Equipment, Base, Arms",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Arms,,,,,P,C,,Lizhe Liang,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS188.width-450.format-webp.webp,,,,,,
LGS189,"LGS, EVO",Teklo Base Legs,,,,1,,,"Mechanologist, Equipment, Base, Legs",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Legs,,,,,P,C,,Erick Efata,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS189.width-450.format-webp.webp,,,,,,
